,Location,Newspaper,Date,Text,URL,Language,Nationality_1,Name_1,Name,Nickname,Nationality,Profession,Body,Height_1,Height_2,Age_1,Age,Instrument,Man,Woman,Women,Men,Men_final,Women_final,Height,Reward,Reward_converted,Reward_amount
0,Bas-Canada,Quebec Gazette,1765-06-27,"RUN-AWAY, from de the Subscriber on Tuesday Morning last, a Negre Man, named Drummond, near six Feet high, walks heavily: Had on when he went away a dark coloured Cloth Coat and Leather breeches. Whover takes up, and secures the said Negro, so that his Master may gave him again, shall have FOUR DOLLARS Reward, ans all reasonable Charhes, paid by JOHN MCCORD     Speaks very bad English, and next to no French.",https://www.marronnage.info/fr/document.php?id=11595,en,[],['named Drummond'],['drummond'],[],[],[],[],['six '],"[6, 0]",[],[],[],['Man'],[],[],[],[1],[],[72],['four dollars'],[167],[4]
1,Bas-Canada,Quebec Gazette,1766-09-01,"RUN-AWAY, on Saturday the 22d of August, 1766, from I WERDEN, in Quebec, A NEGRO GIRL, of about 24 Years of Age, pitted with the Small-pox, speaks good Ebglisg: Had on a black Gown and red Callimanco Petticoat; and suppos'd to have Cash, both Gold ans Silver, with her. Whover apprehends said Negro Girl, and brings her back to said Werden, or to Mrs Mary Wiggans, at Montreal, shall have ONE PISTOLE Reward, and all necessery Charges, paid by I. WERDEN.",https://www.marronnage.info/fr/document.php?id=11596,en,[],[],[],[],[],[],[],[],[],['24 '],[24],[],[],"['GIRL', 'Girl']",[],[],[],"[1, 1]",[],[],[],[]
2,Bas-Canada,Quebec Gazette,1766-10-06,"RUN-AWAY, the 25th instant, from Mr Grant, Merchant at Montreal, a Negro Man, named Brouce, the Property of Lieutenant-Colonel Christie: He is a Stout well made Fellow, about 5 Feet 5 Inches high, speaks English and French, and Stammers a little in his Speech, Whoever secures the said Negro, and delivers him to the said Mr Grant, or to David Elves, Esq, shall be paid a Reward of TWO DOLLARS, and all reasonable Charges.   Montreal, 25th September 1766",https://www.marronnage.info/fr/document.php?id=11598,en,[],['named Brouce'],['brouce'],[],[],[],[],[],[],[],[],[],['Man'],[],[],[],[1],[],[],['two dollars'],[78],[2]
3,Bas-Canada,Quebec Gazette,1766-10-06,"RUN-AWAY, the 25th instant, from Mr Grant, Merchant at Montreal, a Negro Man, named Brouce, the Property of Lieutenant-Colonel Christie: He is a Stout well made Fellow, about 5 Feet 5 Inches high, speaks English and French, and Stammers a little in his Speech, Whoever secures the said Negro, and delivers him to the said Mr Grant, or to David Elves, Esq, shall be paid a Reward of TWO DOLLARS, and all reasonable Charges.   Montreal, 25th September 1766",https://www.marronnage.info/fr/document.php?id=11600,en,[],['named Brouce'],['brouce'],[],[],[],[],[],[],[],[],[],['Man'],[],[],[],[1],[],[],['two dollars'],[78],[2]
4,Bas-Canada,Quebec Gazette,1767-05-14,"RUN-AWAY, from James Crofton, Vintner in Montreal, the Third of May, 1767, a Mulatto Negro Slave, named Andrew, bord in Maryland, Twenty-three Years of Age, middle sized, very active and sprightly, has a remarkable large Mouth, thicks lips, his Fingers crocked, speaks good English and French, a little Dutch and Earse; is suppose to have with him forged Certifidated of his Freedom, and Passes. Whoever takes up and secures the said Negro, so that is Master have him again, shall have EIGHT DOLLARS Reward, besides all Charges, paid by Mr Henry Boone, Merchant, at Quebec, or James Crofton, at Montreal. N.B. He is remarkable for being clean dess'd and wearing a Handkercheif tied roud his Head; is very well known to all the Gentlemen in Quebec, that has been in Montreal, and who have used my House, and was Three Months with Mr Joseph Howard, of Montreal Marchant, last Summer in Quebec.",https://www.marronnage.info/fr/document.php?id=11601,en,[],['named Andrew'],['andrew'],[],[],[],['lips'],[],[],['three '],[3],[],[],[],[],[],[],[],[],['eight dollars'],[316],[8]
5,Bas-Canada,Quebec Gazette,1769-10-19,"RUN-AWAY, on the 11th of September last, a Negro Woman, named Susannah, about 27 years of age, and about 5 Feet 10 Inches high, smooth fac'dm, speaks English and a little French. Whoever appreheds and secures the said Negro Woman, so that her Master have her again, shall have a Reward of TEN DOLLARS, by applaying to MESSRS. Dobie & Frobisher, Merchants at Montreal, or to the Printers hereof.  N.B. Whoever harbours or conceals said Negro Woman, will be prosecuted to the utmost Rigour of the Law. - Quebec, 18th October, 1769.",https://www.marronnage.info/fr/document.php?id=11603,en,[],['named Susannah'],['susannah'],[],[],[],[],[],[],['27 '],[27],[],[],"['Woman', 'Woman', 'Woman']",[],[],[],"[1, 1, 1]",[],['ten dollars'],[395],[10]
6,Bas-Canada,Quebec Gazette,1771-08-15,"RUN-AWAY from the Subscibers, in the Night of the 12th Inst. A Sailor Negro Slave named POMPEY, about 5 feet 5 Inches high, and is Robust; he was lately brought of Mr Perras, Merchant in this Town; had on when he went away a brown Jacket and breeches. Whoever brings him to the Subscribers shall have EIGHT DOLLARS Reward, and reasonable Charges paid. Any Person harbouring him will be prosecuted according to the atmost Rigour of the Law, by JOHNSTON & PURSS.",https://www.marronnage.info/fr/document.php?id=11605,en,[],['named POMPEY'],['pompey'],[],[],[],[],['5  5'],"[5, 5]",[],[],[],[],[],[],[],[],[],[65],['eight dollars'],[308],[8]
7,Bas-Canada,Quebec Gazette,1775-09-07,"RUN AWAY from Mr Orillat's Farm on the Island of Montreal, the 20 th Ult. A Negro about Feet five of six Inches high, well-made, about twenty-two Years of Age, a mild Countenance, long Visage, with a small Scar on the left Side of his Neck joinning the Jaw-bone, occasioned by a Gland not yet cur'd: he had on when he went away a short grey Coat of English Drugget. Whoever brings him back to Mr John Orillat shall have a reasonable Reward.",https://www.marronnage.info/fr/document.php?id=11607,en,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
8,Bas-Canada,Quebec Gazette,1775-11-30,"RUN AWAY from the suscriber (on the Eighteen Instant) a Negre man named Lowcanes, aged twenty-five Years, thin face, and remarkable long hair tied behind, about five feet ten inches high, speaks good french, no English, plays the Violin very well. He had on when he went off a light coat with a red cape to it, waistcoat and breeches: Whoever secures the said Negro man so that his Master may have him again shall have sixteen dollars reward, and charges from. ",https://www.marronnage.info/fr/document.php?id=11609,en,[],['named Lowcanes'],['lowcanes'],[],[],[],"['face', 'hair']",['five  ten'],"[5, 10]",['five '],[5],[],"['man', 'man']",[],[],[],"[1, 1]",[],[70],['sixteen dollars'],[625],[16]
9,Bas-Canada,Quebec Gazette,1777-09-18,"Montreal, September 15, 1777 WHEREAS in the Night between the 4th and 5th instant, the cellar of John Jones, in Saint Paul Street, near the barrack, was broke open, and great quantity of Liquors, Soap, Sugar and other effects were stolen and taken therefrom; And whereas there the strongest reason to suspect the said burglary and robbery was committed by a Negro man called Bruce, tall, well made, with a high Nose and very black complexion, about thirty-five years of age, who has since absconded: Notice is hereby given to all Captains of Militia and other peace Officers to use their utmost endeavours to apprehend the said Bruce ans to send him in safe custody to the Goal of Montreal; and all persons aree hereby strictly forbid to harbour or conceal the said Bruce on pain of being prosecuted with the utmost of thee severity of the Law. A reward of FIVE POUNDS ans all reasonable charges will be paid to the person who shall apprehend him and secure him as aforesaid, by EDWD. WM. GRAY, Sheriff.",https://www.marronnage.info/fr/document.php?id=11611,en,[],['called Bruce'],[],['bruce'],[],[],[],[],[],['thirty-five '],[35],[],['man'],[],[],[],[1],[],[],['five pounds'],[1275],[5]
10,Bas-Canada,Quebec Gazette,1777-11-27,"RANAWAY from the Printing-office in Quebec, on Saturday evening the twenty-second instant, a Negro lad named JOE, born in Africa, about twenty years of age, about five feet and an half high, full roud fac'd, a little marked with the small-pox, speaks English and French tolerably; he had on when he went away an old green furcap, an old sky-blue bread-cloth, and an old grey ratten jacket, leather breeches, brown leggins and Canadian macassins. All persons are hereby forewarned from harbouring or aiding him to escape, as they may depend on being prosecuted to the utmost of the Law, and whoever will give information where he is harboured. or bring him back, shall have FOUR DOLLARS Reward from THE PRINTER. 
",https://www.marronnage.info/fr/document.php?id=11613,en,[],['named JOE'],['joe'],[],[],[],[],[],[],['twenty '],[20],[],['lad'],[],[],[],[1],[],[],['four dollars'],[113],[4]
11,Bas-Canada,Quebec Gazette,1778-01-29,"RANAWAY from the Printing-Office, on Sunday night the twenty-fifth insant , a Negro Lad named JOE, born in Africa, about twenty years of age, about five feet an half high, full roud fac'd, a little marked with the small-pox, speaks English and French tolerably; he had on when he went away an old green furcap, an old sky-blue bread-cloth, an an old geay ratten jacket, leather breeches, brown leggins and Canadian macassins. All persons are hereby forewarned from harbouring or aiding him to escape, as they may depend on being prosecuted to the utmost of the Law, and whoever will give information where he is harboured. or bring him back, shall have EIGHT DOLLARS Reward from THE PRINTER. 
",https://www.marronnage.info/fr/document.php?id=11615,en,[],['named JOE'],['joe'],[],[],[],[],[],[],['twenty '],[20],[],['Lad'],[],[],[],[1],[],[],['eight dollars'],[174],[8]
12,Bas-Canada,Quebec Gazette,1778-05-28,"RUN AWAY on Saturday night the 10th Instant, a Negro man named Jack, about five feet eight inches high. Had on when away a red coat faced with green buff waistcoat and breeches, and an old blanket coat, speaks no other tongue but English, and that upon the Guinea accent, his foretop turned black, very black, with a large beard, was lately purchased of Captains Covells, of Colonel Peters Volunteers. Whoever will secure the said Negro, that his Master may get him again , shall have a Reward of EIGHT DOLLARS and all reasonable charges paid by FINLAY & GREGORY, merchants near the Market-place. Montreal. Montreal, May 13, 1778.",https://www.marronnage.info/fr/document.php?id=11617,en,['Guinea'],['named Jack'],['jack'],[],['guinea'],[],[],['five  eight'],"[5, 8]",[],[],[],['man'],[],[],[],[1],[],[68],['eight dollars'],[174],[8]
