Nationality,lat,lon,Origin
african,-8.783195,34.508522,Africa
angola,-11.2027,17.8739,Angola
bambara,15.8494,-2.7855,Bambara
banbara,15.8494,-2.7855,Bambara
canadian,52.939915,-73.549133,Canada
chamba,9.255770,12.454570,Chamba
sambo,9.255770,12.454570,Chamba
cherokee,34.730620,-83.924130,Cherokee Nation
congo,4.0383,21.7587,Congo
coromantee,5.554720,-0.220970,Coromantee
curacoa,12.169570,-68.990021,Curucao
english,52.355518,-1.174320,England
english mulatto,52.355518,-1.174320,England
english west indies,18.109581,-77.297508,English West Indies
foolah,17.570692,-3.996166,Foolah
foulah,17.570692,-3.996166,Foolah
fullah,17.570692,-3.996166,Foolah
french,46.227638,2.213749,French
german,51.165691,10.451526,German
guinea,1.142502,9.358487,Guinea
gola,32.602362,-80.243225,Gullah
gulla,32.602362,-80.243225,Gullah
gullah,32.602362,-80.243225,Gullah
havanna,23.113592,-82.366592,Havana
eboe,6.227934,8.530907,Igbo
hibo,6.227934,8.530907,Igbo
ibo,6.227934,8.530907,Igbo
kingston in jamaica,18.017874,-76.809906,Kingston
malabar,11.183791,75.833364,Malabar
mandinga,8.460555,-11.779889,Mandingo
mandingo,8.460555,-11.779889,Mandingo
mundingo,8.460555,-11.779889,Mandingo
marseilles,47.068008,3.013480,Marseilles
mena,9.307690,2.315834,Mina
mocho,-12.477491,15.175381,Moco
moco,-12.477491,15.175381,Moco
morocco,31.791702,-7.092620,Morroco
mungla,-25.025280,32.649550,Mungola
mungola,-25.025280,32.649550,Mungola
nago,7.493196,4.307905,Nago
norfolk,37.431572,-78.656891,Virginia
papa,6.279820,1.823810,Papa
fantee,5.594118,-1.768297,Phanty
phanty,5.594118,-1.768297,Phanty
portuguese,39.399872,-8.224454,Portugal
creol,18.971188,-72.285217,Saint-Domingue
creole,18.971188,-72.285217,Saint-Domingue
savannah,32.080898,-81.091202,Savannah
senegal,14.497401,-14.452362,Senegal
"cheraws, south carolina",33.8361,-81.1637,South Carolina
charleston,33.8361,-81.1637,South Carolina
south carolina,33.8361,-81.1637,South Carolina
american,32.3182,-86.9023,United States
united states,32.3182,-86.9023,United States
virginia though brought out in,37.431572,-78.6569,Virginia
virginian,37.431572,-78.6569,Virginia
virginia,37.431572,-78.6569,Vriginia
pampa,,,
papaw,,,
soco,,,
succo,,,
wakee,,,
walkee,,,
wawee,,,
back country,,,
capot,,,
cassa,,,
catawba,33.8361,-81.1637,South Carolina
country,,,
countryman,,,
gro,,,
hebrew,,,
india,20.5937,78.9629,India
indian,,,
island,,,
island of st. eustatia,,,
island of st. martins,,,
latter parish,,,
malimba,3.844119,11.501346,Malimba
maniga,,,
native of this country,,,
northern,,,
northward,,,
parish,,,
parish of,,,
state of,,,
